SNo,Name,Ew.,Ew.,Ew.,Ew.,Ew.,Ew.,Ew.,Ew.,Ew.,Fläche,Ew.,Diff.,Groß-,Bundes-
,,1939,1950,1960,1970,1980,1990,2000,2010,2012,[km²],/km²,[%],stadt,land
,,,,,,,,,,,,,(2011,erst-,
,,,,,,,,,,,,,–2012),mals,
1,Berlin,4.321.521,3.336.026,3.274.016,3.208.719,3.048.759,3.433.695,3.382.169,3.460.725,3.375.222,"891,75",3.785,"1,48",1747, Berlin
2,Hamburg,1.698.388,1.605.606,1.836.958,1.793.640,1.645.095,1.652.363,1.715.392,1.786.448,1.734.272,"755,30",2.296,"0,94",1787, Hamburg
3,München,815.212,831.937,1.101.384,1.311.978,1.298.941,1.229.026,1.210.223,1.353.186,1.388.308,"310,70",4.468,"1,71",1852, Bayern
4,Köln,768.352,594.941,801.142,849.451,976.694,953.551,962.884,1.007.119,1.024.373,"405,16",2.528,"1,06",1852, Nordrhein-Westfalen
5,Frankfurt am Main,548.22,532.037,675.009,666.179,629.375,644.865,648.55,679.664,687.775,"248,31",2.77,"1,66",1875, Hessen
6,Stuttgart,454.346,497.677,637.366,634.202,580.648,579.988,583.874,606.588,597.939,"207,35",2.884,"1,17",1874, Baden-Württemberg
7,Düsseldorf,535.753,500.516,697.891,660.963,590.479,575.794,569.364,588.735,593.682,"217,41",2.731,"0,68",1882, Nordrhein-Westfalen
8,Dortmund,537.865,507.349,640.802,640.642,608.297,599.055,588.994,580.444,572.087,"280,71",2.038,"0,12",1894, Nordrhein-Westfalen
9,Essen,664.523,605.411,729.462,696.419,647.643,626.973,595.243,574.635,566.862,"210,30",2.695,"0,17",1896, Nordrhein-Westfalen
10,Bremen,354.109,444.549,563.27,592.533,555.118,551.219,539.403,547.34,546.451,"325,42",1.679,"0,44",1875, Bremen
11,Dresden,629.713,494.187,493.603,502.432,516.225,490.571,477.807,523.058,525.105,"328,31",1.599,"1,42",1852, Sachsen
12,Leipzig,702.155,617.574,589.632,583.885,562.48,511.079,493.208,522.883,520.838,"297,37",1.751,"2,12",1871, Sachsen
13,Hannover,464.646,444.296,574.672,521.003,534.623,513.01,515.001,522.686,514.137,"204,14",2.519,"0,91",1875, Niedersachsen
