,Geldgeber,Kategorie,Betrag,Empfänger,Jahr,Ort,Bundesland,Branche,Schlagworte
"Parteispende:Münchener Rückversicherungs-Gesellschaft AG in München-CDU-2014","Münchener Rückversicherungs-Gesellschaft AG",Kategorie:Parteispende,"15000,00 €",CDU,2014,München,,,
"Parteispende:Münchener Rückversicherungs-Gesellschaft AG in München-CDU-2011","Münchener Rückversicherungs-Gesellschaft AG",Kategorie:Parteispende,"15000,00 €",CDU,2011,München,,,
"Parteispende:Münchener Rückversicherungs Gesellschaft AG-SPD-2012","Münchener Rückversicherungs-Gesellschaft AG",Kategorie:Parteispende,"15000,00 €",SPD,2012,München,,,
"Parteispende:Münchener Rückversicherungs Gesellschaft AG-SPD-2011","Münchener Rückversicherungs-Gesellschaft AG",Kategorie:Parteispende,"15000,00 €",SPD,2011,München,,,
"Parteispende:Münchener Rückversicherungsgesellschaft AG-CSU-2005","Münchener Rückversicherungs-Gesellschaft AG",Kategorie:Parteispende,"15000,00 €",CSU,2005,München,,,
"Parteispende:Münchener Rückversicherungsges. AG-CSU-2015","Münchener Rückversicherungs-Gesellschaft AG",Kategorie:Parteispende,"15000,00 €",CSU,2015,München,,,
"Parteispende:Münchener Rückversicherungsgesellschaft AG-CDU-2009","Münchener Rückversicherungs-Gesellschaft AG",Kategorie:Parteispende,"30000,00 €",CDU,2009,München,,,
"Parteispende:Münchener Rückversicherungsgesellschaft AG*-FDP-2011","Münchener Rückversicherungs-Gesellschaft AG",Kategorie:Parteispende,"15000,00 €",FDP,2011,München,,,
"Parteispende:Münchener Rückversicherungsges. AG-SPD-2015","Münchener Rückversicherungs-Gesellschaft AG",Kategorie:Parteispende,"15000,00 €",SPD,2015,München,,,
"Parteispende:Münchener Rückversicherungsgesellschaft AG-FDP-2009","Münchener Rückversicherungs-Gesellschaft AG",Kategorie:Parteispende,"22500,00 €",FDP,2009,München,,,
"Parteispende:Münchener Rückversicherungsgesellschaft AG-FDP-2005","Münchener Rückversicherungs-Gesellschaft AG",Kategorie:Parteispende,"45000,00 €",FDP,2005,München,,,
"Parteispende:Münchener Rückversicherungsgesellschaft AG-CDU-2005","Münchener Rückversicherungs-Gesellschaft AG",Kategorie:Parteispende,"30000,00 €",CDU,2005,München,,,
"Parteispende:Münchener Rückversicherungsgesellschaft AG-SPD-2005","Münchener Rückversicherungs-Gesellschaft AG",Kategorie:Parteispende,"15000,00 €",SPD,2005,München,,,
"Parteispende:Münchener Rückversicherungsgesellschaft AG-FDP-2008","Münchener Rückversicherungs-Gesellschaft AG",Kategorie:Parteispende,"22500,00 €",FDP,2008,München,,,
