"date","Mcomplete","Stdcomplete","Mlast300","Mlast200","Mlast100","MinCompl","Q25Compl","Q50Compl","Q75Compl","MaxCompl"
"40161",2016-02-21 07:41:49,55.7961476725522,7.92520408152274,56.0322580645161,57.2352941176471,60.46,48,52,53,55.5,90
"40171",2016-02-22 06:32:03,51.7488721804511,3.3036721204017,51.0617283950617,50.2844036697248,50.4909090909091,47,50,51,53,67
"40225",2016-02-23 07:35:14,46.53772070626,1.75183117946768,48,48.2222222222222,48.8846153846154,43,45,46,47,57
"39963",2016-02-24 08:20:44,51.097244732577,3.32887927107193,50.650406504065,51.8823529411765,52.5185185185185,47,50,50,52,70
"40419",2016-02-25 08:30:57,50.9457831325301,4.0917177489301,53.2138364779874,50.6181818181818,49.3636363636364,45,48,50,52,66
"40076",2016-02-26 08:02:16,48.5340136054422,3.61294278727766,47.9880239520958,47.6785714285714,46.4561403508772,42,46,48,51,62
"40084",2016-02-27 06:21:20,47.2692913385827,3.6969061967551,49.1454545454545,48.4864864864865,47.75,42,45,46,50,61
"39952",2016-02-28 08:21:12,55.4391891891892,3.43659287327842,55.8333333333333,55.1333333333333,53.6296296296296,51,53,55,57,69
"40040",2016-02-29 08:02:57,53.4401913875598,2.40224441680539,55.724358974359,55.3173076923077,56.3269230769231,50,51,53,55,59
"40111",2016-03-01 06:50:06,48.5469798657718,2.99065338516221,48.1325301204819,47.375,46.6842105263158,46,47,48,49,66
"40009",2016-03-02 06:05:45,52.9092465753425,3.22888710747503,54.4331210191083,54.4857142857143,54.3962264150943,49,51,52,54,70
"40129",2016-03-03 05:12:53,47.8675496688742,2.67145216548743,48.7154471544715,47.7641509433962,47.375,44,46,47,49,66
"39937",2016-03-04 04:56:17,50.4075342465753,2.0166574119514,50.2147239263804,50.4220183486239,49.0545454545455,47,49,50,51,61
"40082",2016-03-05 05:00:26,55.2741379310345,5.02247316906369,55.2884615384615,55.625,58.078431372549,49,52,54,57,78
"39931",2016-03-07 08:06:43,59.3186274509804,2.63330912249774,59.1842105263158,59.6930693069307,61.86,53,58,59,61,67
"40190",2016-03-08 06:32:02,56.2462562396007,2.87679047914486,55.6410256410256,56.4563106796116,55.9038461538462,52,54,56,58,67
"40055",2016-03-09 07:40:28,52.0145395799677,3.10466533375112,52.6625,54.552380952381,54.5849056603774,47,50,52,54,62
"39915",2016-03-10 06:34:54,49.0541871921182,4.04806886680894,49.6727272727273,48.8454545454545,50.6727272727273,45,47,48,50,73
"40118",2016-03-11 06:20:59,50.2713178294574,4.54199168625617,53.0875,51.045871559633,48.9636363636364,44,47,49,53,67
"39896",2016-03-12 06:25:58,51.0665434380776,4.50588184245906,51.3726708074534,51.0648148148148,52.9811320754717,44,49,50,52,71
"40096",2016-03-13 08:05:33,54.4831460674157,3.34211483426987,56.3741935483871,55.0571428571429,58.0980392156863,48,52,54,56,66
"40482",2016-03-14 06:26:10,50.0417362270451,5.41519548409625,49.6826347305389,50.5181818181818,50.6727272727273,45,47,49,51,73
"39907",2016-03-15 06:56:08,55.1368243243243,2.64796228833089,56.6883116883117,57.343137254902,57.7450980392157,51,53,55,57,65
"39984",2016-03-16 06:15:11,53.3806552262091,5.42118531273446,54.246835443038,54.4666666666667,55.9811320754717,47,50,52,55,77
"40393",2016-03-17 08:13:26,53.7639751552795,3.54840428588029,55.1474358974359,56.2330097087379,56.3269230769231,47,52,53,55,75
"39880",2016-03-18 06:26:06,51.113475177305,3.72327363852089,51.695652173913,51.3888888888889,51.2592592592593,47,49,50,52,72
"40417",2016-03-19 06:26:03,49.5410385259632,4.90825980933119,50.5276073619632,48.8648648648649,47.8214285714286,45,47,48,50,69
"40192",2016-03-20 07:42:23,49.9984251968504,2.25188264216065,50.9018404907975,49.8165137614679,49.1607142857143,47,48,50,51,60
"39933",2016-03-21 06:26:41,49.6650563607085,5.05810300457423,51.7329192546584,51.5185185185185,52.4259259259259,44,46,48,51,72
"40239",2016-03-22 06:21:27,50.5255354200988,6.53315411129228,49.5090909090909,48.25,47.1428571428571,44,47,48,50,74
"39978",2016-03-23 06:26:12,49.9457236842105,4.78623935042638,50.6625766871166,51.7407407407407,55.9423076923077,44,47,48,51,71
"40214",2016-03-24 06:22:15,48.0682593856655,4.39799286477218,49.5792682926829,49.0090909090909,52.3518518518519,42,45,46.5,51,69
"40024",2016-03-25 08:01:29,49.2574750830565,3.22404943803786,48.4939759036145,47.6517857142857,48.4,45,47,48,50,63
"39887",2016-03-26 06:52:04,46.3878887070376,2.98660132966348,46.9404761904762,47.125,49.5818181818182,43,44.5,45,47,60
"40067",2016-03-27 06:26:09,47.0663430420712,4.87115678793383,47.1111111111111,47.4521739130435,48.7966101694915,42,44,46,48,68
"39926",2016-03-28 07:03:34,52.6688311688312,3.66136532320749,56.5194805194805,59.1584158415842,58.7647058823529,46,50,52,54,63
"40350",2016-03-29 06:26:28,50.8367003367003,6.46969324979751,51.6770186335404,49.4181818181818,50.0727272727273,44,46,49,53,73
"40180",2016-03-30 08:11:50,52.4991816693944,3.68353660931828,50.8773006134969,51.1481481481481,50.2363636363636,48,51,51,53,71
"40145",2016-03-31 06:00:38,48.146875,3.74378854376244,46.5029585798817,45.5701754385965,44.859649122807,43,46,48,49,62
"40075",2016-04-01 08:06:19,54.5032894736842,3.16383846621227,55.7564102564103,55.75,56.1730769230769,50,52,54,56,71
"40463",2016-04-02 07:27:02,48.830220713073,2.9447930731581,49.1818181818182,48.3333333333333,47.875,45,47,48,50,63
"39987",2016-04-03 07:39:08,48.9697986577181,3.45960030135093,51.4753086419753,51.8333333333333,49.8,45,46,49,50,64
"40403",2016-04-04 06:26:17,51.8013029315961,3.41184936376195,54.8662420382166,54.3679245283019,55.0566037735849,46,50,51,53,64
"39891",2016-04-05 06:31:12,54.0634390651085,2.84540035903922,55.5064102564103,56.5242718446602,56.6346153846154,48,52,54,56,66
"40381",2016-04-06 07:21:30,55.3595505617978,4.09875298151381,56.0903225806452,52.9345794392523,51.8888888888889,50,53,55,57,72
"40483",2016-04-07 07:32:06,54.3636363636364,3.31165211120626,53.4968553459119,52.7476635514019,52.8518518518519,50,52,54,55,68
"39976",2016-04-08 07:31:43,54.2985074626866,3.22064268382432,53.6666666666667,51.4537037037037,52.2407407407407,49,52,54,56,67
"39943",2016-04-09 08:22:29,53.0284757118928,3.66246055316912,54.8407643312102,54.2095238095238,53.1509433962264,47,50,52,55,67
"40094",2016-04-10 08:46:47,58.0927672955975,3.5732000544649,60.9858156028369,59.86,61.6530612244898,52,56,58,59,70
"40010",2016-04-11 07:46:02,53.0182724252492,4.66316307411369,55.4777070063694,54.6571428571429,56.9807692307692,47,50,51,55,68
"40222",2016-04-13 08:20:15,56.7770382695508,3.45931667821835,56.9805194805195,57.2843137254902,59.76,51,54,56,58,69
"40361",2016-04-14 07:49:13,53.7632,3.31540537800626,55.1025641025641,56.0384615384615,54.6792452830189,47,52,53,56,63
