"date","Mcomplete","Stdcomplete","Mlast300","Mlast200","Mlast100","MinCompl","Q25Compl","Q50Compl","Q75Compl","MaxCompl"
"3377",2017-04-18 05:13:38,42.8900523560209,4.38363162731209,43.4933333333333,41.94,42.88,34,40,42,45,58
"3379",2017-04-19 05:22:17,42.9606481481481,4.85337948097549,42.83,42.545,41.22,31,39,43,47,56
"3381",2017-04-20 05:25:15,43.6969696969697,4.70577824534358,43.6969696969697,43.315,42.84,33,40,44,47,58
"3383",2017-04-21 05:22:12,45.1352785145889,5.63804062741412,44.98,45.08,44.1,32,41,45,49,62
"3385",2017-04-22 05:56:47,45.3296703296703,4.71748390950861,44.9,44.345,43.75,35,42,45,49,58
"3387",2017-04-23 06:08:26,44.921875,4.99087884488246,44.6766666666667,44.89,43.95,31,41.75,45,49,57
"3389",2017-04-24 05:12:14,40.2976588628763,3.92569763013339,40.2976588628763,39.855,39.55,32,37,40,43,49
"3391",2017-04-25 05:12:48,43.0508474576271,5.09509477595573,43.0508474576271,42.335,41.99,30,40,42,47,59
"3393",2017-04-26 05:12:54,45.6149870801034,4.71235644905407,45.8866666666667,45.23,45.24,32,42,46,49,56
"3395",2017-04-27 05:13:03,42.9029126213592,4.53912874821072,42.2266666666667,41.925,42.31,27,40,42,45,57
"3397",2017-04-28 05:14:23,46.7572463768116,5.58983997404589,46.7572463768116,46.925,45.79,32,42,47,51,62
"3372",2017-04-29 05:51:46,50.5430861723447,5.43856223014076,51.62,51.93,50.49,34,47,51,54.5,62
"3373",2017-04-30 05:54:16,47.4765625,4.79005417110715,46.72,46.575,47,35,44,48,51,60
"3374",2017-05-02 05:11:55,43.6,4.43908907446377,43.6,42.83,42.42,36,40,43,46,60
"3375",2017-05-03 05:13:54,43.4721189591078,4.19534251896881,43.4721189591078,44.045,43.61,35,40,44,47,54
"3376",2017-05-04 05:13:33,44.21,4.02385119582165,44.1166666666667,43.55,42.06,35,41,44,47,56
