"calc_ident_id","rr_min","rr_max","rr_mean","rr_max_min_rel","sdnn","sd1","sd2","rmssd","pnn50","power_hf","power_lf","power_lf_hf","power_total","power_vlf"
"241",44930,505,1739,1209.24,3.44,192.23,94.73,254.82,133.99,60.31,5378.76,6706.67,1.25,12879.05,629.98
"260",41568,919,1752,1278.17,1.91,165.37,100.79,211.04,142.54,67.97,4316.85,4090.46,0.95,8707.89,315.05
"272",42148,885,1616,1245.51,1.83,130.08,71.88,169.34,101.65,66.87,2891.99,4127.09,1.43,7316.88,204.74
"290",43069,936,1681,1295.11,1.8,162.38,84.94,213.35,120.12,66.59,3655.32,4745.27,1.3,8652.82,193.12
"334",41491,916,1629,1224.38,1.78,129.78,81.17,164.61,114.79,65.23,4463.56,2136.98,0.48,7051.23,451.76
"367",36525,1023,1754,1405.38,1.71,126.26,94.97,151.21,134.31,76.64,3509.59,1955.21,0.56,5941.88,403.18
"422",36526,989,1797,1355.43,1.82,147.79,96.96,185.16,137.12,77.93,4941.1,2902.91,0.59,8077.87,183.27
"600",36530,905,1731,1259.59,1.91,171.85,90.49,225.56,127.98,65.22,4633.54,6328.53,1.37,11483.87,198.06
"637",36533,1011,1815,1422.11,1.8,143.02,89.7,181.28,126.86,72.55,3152.3,2224.75,0.71,5740.29,327.55
"638",36534,1116,1762,1384.71,1.58,147.34,96.38,184.74,136.3,77.14,4475.79,2897.76,0.65,7702.47,309.14
"639",36535,1050,1730,1277.71,1.65,111.11,72.83,139.24,103.01,66.6,2690.97,1186.89,0.44,4161.66,195.49
"640",36536,928,1740,1304.38,1.88,162.78,98.75,207.95,139.66,73.09,4652.8,4330.83,0.93,9375.28,339.59
"641",36538,965,2013,1224.33,2.09,128.52,71.05,167.29,100.48,60.16,2064.39,2942.11,1.43,5615.39,297.47
"642",36541,987,1902,1497.87,1.93,150.66,99.16,188.59,140.23,72.53,3689.29,7383.83,2,11898.33,682.19
"738",36546,840,1271,1073.56,1.51,60.87,31.55,80.09,44.62,26.16,697.73,662.81,0.95,1410.8,39.12
"739",36547,893,1654,1258.25,1.85,115.32,72.95,145.86,103.16,64.61,3182.04,2938.28,0.92,6239.2,33.82
"740",36548,847,1623,1192.74,1.92,159.31,71.42,213.68,101.01,59.66,3144.17,3252.88,1.03,7037.68,603.12
"741",36561,1037,1763,1324.31,1.7,136.3,80.82,175,114.3,60.15,3094.44,2721.41,0.88,6471.33,530.83
"742",36584,954,1644,1234.26,1.72,131.69,72.9,171.38,103.09,60.19,3004.07,2466.63,0.82,5753.66,220.31
"743",36589,993,1713,1306.01,1.73,135.03,85.7,170.65,121.2,74.71,3934.81,1520.45,0.39,5826.31,339.7
"744",36599,714,1869,1437.7,2.62,200.93,115.95,259.43,164,72.99,6230.76,6313.27,1.01,13019.58,366.84
"745",36600,871,1503,1109.33,1.73,110.14,55.65,145.48,78.7,48.01,1517.06,2294.71,1.51,3986.25,112.52
"746",36601,929,1784,1345.74,1.92,181.51,107.98,232.88,152.71,68.06,4278.41,8353.81,1.95,13179.22,402.03
"747",36602,849,1625,1139.52,1.91,131.6,64.1,174.72,90.65,51.04,1580.11,2114.65,1.34,4355.17,628.67
"748",36605,919,1620,1171.79,1.76,117.12,57.87,155.2,81.84,45.97,1264.35,1848.04,1.46,3286.51,113.12
"749",36607,934,1803,1278.91,1.93,155.92,114.18,188.64,161.48,70.86,6454.21,8100.62,1.26,14738.99,287.54
"750",36609,757,1816,1369.17,2.4,200.3,113.08,259.72,159.91,73.75,5137.97,7968.6,1.55,13799.12,403.45
"751",36610,644,1729,1206.51,2.68,150.47,91.77,191.99,129.8,60.15,5293.73,5623.56,1.06,11148.39,299.77
"752",36612,734,1647,1311.74,2.24,139.65,78.67,181.15,111.28,64.71,2756.77,2406.59,0.87,5585.47,346.26
"757",36613,962,1762,1289.19,1.83,145.15,96.96,180.93,137.12,69.39,4908.22,4007.26,0.82,9191.74,145.03
"758",36614,955,1903,1402.73,1.99,190.57,112.81,244.76,159.54,75.96,5214.02,4986.04,0.96,10730.26,482.61
"759",36616,1016,1840,1396.9,1.81,183.92,114.11,233.73,161.38,73.26,6108.38,3384.3,0.55,9942.77,283.28
"760",36617,1004,1945,1383.08,1.94,155.61,119.71,184.66,169.34,76.56,7143.58,2739.28,0.38,10244.97,189.5
"761",36621,1011,1490,1201.12,1.47,93.28,51.47,121.46,72.79,49.63,1406.46,1876.2,1.33,3394.58,75.69
"762",36623,947,1623,1230.93,1.71,133.01,76.73,171.74,108.51,64.89,3895.14,2915.88,0.75,7087.88,239.85
"763",36626,1082,1883,1479.27,1.74,147.87,105.05,180.82,148.56,73.23,6015.62,6685.32,1.11,13039.76,195.68
"764",36631,1049,1740,1361.16,1.66,145.1,85.22,186.67,120.51,72.92,3475.03,3120.31,0.9,6836.58,149.11
