"date","Mcomplete","Stdcomplete","Mlast300","Mlast200","Mlast100","MinCompl","Q25Compl","Q50Compl","Q75Compl","MaxCompl"
"38164",2015-02-17 10:32:27,54.5605849582173,6.80600928922683,55.4450867052023,53.981981981982,50.7454545454545,44,49,53,58,89
"38006",2015-02-23 07:36:30,51.5517711171662,1.7727406493969,52.0931677018634,51.4537037037037,51.7777777777778,47,51,51,52,57
"37620",2015-02-25 05:45:59,42.2767203513909,2.86977878657085,44.1520467836257,42.0775862068966,40.2068965517241,37,40,42,44,50
"37563",2015-02-26 05:23:53,42.2769440654843,3.0730585756152,41.5224719101124,41.7457627118644,42.3559322033898,37,40,42,44,52
"37748",2015-02-27 05:47:55,44.5804416403786,3.65805339258069,46.9166666666667,43.8620689655172,44.3103448275862,39,42,44,45.75,58
"38031",2015-02-28 06:07:51,41.1727019498607,2.30534669251459,42.7085714285714,43.4655172413793,44.5964912280702,36,40,41,43,47
"37286",2015-03-01 06:02:26,43.0380818053597,2.46270824673827,44.3410404624277,43.7931034482759,42.1864406779661,38,41,43,45,49
"37983",2015-03-02 05:48:25,43.0388349514563,2.70054331502612,43.5229885057471,43.4741379310345,43.0847457627119,37,41,43,45,50
"37782",2015-03-03 05:49:08,40.9069423929099,2.04936754955898,41.0112359550562,40.3445378151261,41.0677966101695,37,39,41,42,48
"37351",2015-03-04 05:37:31,42.6205882352941,2.94428173595135,43.0847457627119,43.771186440678,43.55,36,41,43,45,49
"37922",2015-03-05 05:21:43,47.6104651162791,3.84026106189757,45.5348837209302,46.3070175438597,44.0847457627119,39,45,47,51,56
"37526",2015-03-06 05:40:10,47.0567375886525,3.88794218773765,48.4397590361446,46.4424778761062,46.3333333333333,38,45,47,50,56
"37609",2015-03-07 06:31:53,50.7075928917609,3.6113974366781,51.3641975308642,51.6111111111111,52.2037037037037,44,48,50,54,59
"37808",2015-03-08 05:55:07,47.5978407557355,3.36599781302806,48.3952095808383,46.4649122807018,44.9824561403509,40,45,47,50,56
"37532",2015-03-09 05:36:21,45.8011958146487,3.75494863965534,45.6531791907514,46.2017543859649,47.5087719298246,38,43,46,48,56
"37935",2015-03-10 05:40:00,43.9034090909091,3.20326820530809,44.7616279069767,45.6695652173913,44.7413793103448,37,42,44,46,55
"37272",2015-03-11 05:04:43,42.9436201780415,2.7522400890591,42.7457627118644,41.3388429752066,42,37,41,43,45,51
"37889",2015-03-12 05:20:35,41.2257617728532,2.92490402678708,42.0397727272727,42.3162393162393,41.3333333333333,36,39,41,43,51
"37378",2015-03-13 05:34:23,48.1042584434655,3.46019330693302,46.8045977011494,46.3947368421053,45.5862068965517,40,46,48,50,56
"37411",2015-03-14 04:28:07,43.5434782608696,1.95389806655566,44.1085714285714,43.6016949152542,43.948275862069,38,42,44,45,47
"37945",2015-03-16 05:37:09,44.5447976878613,4.03451305828554,46.4502923976608,46.25,41.7796610169492,37,41,44,47,56
"37897",2015-03-17 05:30:57,43.8046989720998,3.67883952356328,45.242774566474,44.2844827586207,43.6379310344828,37,41,44,47,54
"38073",2015-03-18 05:19:49,44.8145400593472,3.22366286076088,45.6628571428571,45.1848739495798,45.7868852459016,39,43,44,47,53
"37499",2015-03-19 05:19:03,41.664201183432,3.26525449490576,41.6685393258427,43.3162393162393,43.0338983050847,36,39,41,43,51
"37365",2015-03-20 05:38:40,46.2110091743119,2.9412003711398,47.5416666666667,48.5045045045045,44.8793103448276,40,44,46,48,57
"38063",2015-03-21 06:15:04,43.8761755485893,3.01154707847462,43.5480225988701,43.3949579831933,43.7966101694915,38,42,44,46,53
"37855",2015-03-22 05:51:15,44.2138728323699,3.68717941937135,44.6976744186046,46.0088495575221,45.5789473684211,37,42,44,46,58
